Probe	GeneSymbol	GeneFunction	Description	Brain expression	Model	PvalueDown	QvalueDown	FoldChange	AgeGene	pHGene	CellType	Probe Specificity
212942_s_at	KIAA1199	Cell maintenance/ biogenesis	cell mortality;  involved in perception of sound	present	2	1.47E-04	8.55E-02	0.92				
34726_at	CACNB3	Signal transduction	calcium channel subunit; increasing peak calcium current	highly	2	1.57E-04	8.55E-02	0.93	X			
201328_at	ETS2	Transcription; Translation	TF; proto-oncogene; regulation of neuronal apoptosis	neuron specific	3	1.63E-04	8.60E-02	0.90			neuron	
203339_at	SLC25A12	Oxidative phosphorylation; Energy metabolism	calcium binding protein; mitochondrial transport; energy transfer	lowly	4	1.74E-04	8.66E-02	0.87				Non-specific
204679_at	KCNK1	Ion transport; Neurotransmission	potassium channel; regulation of K+ homeostasis; ion transport	highly	2	1.79E-04	8.66E-02	0.88	X		astrocyte	
212252_at	CAMKK2	Signal transduction; Neurotransmitter transport	Ca/Cam dependent Ser/Thr protein kinase; regulates hypothalamic production of NPY	highly	2	1.78E-04	8.66E-02	0.94	X		neuron	Insensitive
213366_x_at	ATP5C1	Oxidative phosphorylation; Energy metabolism	ATP synthase; component of complex V of oxidative phosphorylation	present	fullModel	1.70E-04	8.66E-02	0.93				
202159_at	FARSA	Transcription; Translation	cell organization; biogenesis; tRNA sythetase subunit	n/a	2	2.20E-04	8.76E-02	0.95	X			
203188_at	B3GNT1	Metabolic process	carbohydrate metabolism	highly	2	1.94E-04	8.76E-02	0.95	X			
204002_s_at	ICA1	Signal transduction; Neurotransmitter transport	insulin dependent diabetes antigen; neurotransmitter transport (inferred)	n/a	2	1.98E-04	8.76E-02	0.96	X			
204869_at	PCSK2	Metabolic process	enzyme involved in processing of hormones and other protein precursors	present (diencephalon)	2	2.19E-04	8.76E-02	0.89	X		neuron	
205794_s_at	NOVA1	Neurotransmission; RNA processing	ventral neuron specific protein; regulating RNA splicing or metabolism in developing neurons; regulating functional and structural synaptic changes	present	3	2.05E-04	8.76E-02	0.94	X			
209093_s_at	GBA	Metabolic process	glucosidase; degradation of complex glycolipids; GWAS for PD and Lewy body disorders (AD)	highly	2	2.11E-04	8.76E-02	0.95				
209699_x_at	AKR1C2|AKR1C1|AKR1C3	Metabolic Process	Aldo-ketoreductase; carbohydrate metabolism	highly	2	2.11E-04	8.76E-02	0.93				Non-specific
210638_s_at	FBXO9	Ubiquitination	phosphorylation dependent ubiquitination; component of E3 ubiquitin protein ligase complex	present	fullModel	2.21E-04	8.76E-02	0.88	X			
218125_s_at	CCDC25	Unknown	---		2	2.16E-04	8.76E-02	0.92				
220031_at	OTUD7B	Ubiquitination; Transcription	TF regulating inflammatory processes; deubiquitinating activity	present	3	1.97E-04	8.76E-02	0.96			oligodendrocyte	
202852_s_at	FLJ11506	Protein transport	may play a role in membrane traffic (by similarity)	n/a	3	2.27E-04	8.79E-02	0.91	X			
206490_at	DLGAP1	Neurotransmission; Signal transduction	neuronal cell signaling; molecular organization of synapses; inducing enrichment of PSD-95 at PM	neuron specific	3	2.29E-04	8.79E-02	0.94	X			
205114_s_at	TBC1D3G|CCL3L3|CCL3L1|TBC1D3C|CCL3|CCL3L3|CCL3L1|CCL3	Unknown	---	present	2	2.38E-04	8.97E-02	0.88				Non-specific
203476_at	TPBG	Cell adhesion	Oncofetal antigen; trophoblast specific  glycoprotein	present	2	2.83E-04	9.61E-02	0.89	X		astrocyte	
204676_at	TMEM186	Unknown	---		3	2.79E-04	9.61E-02	0.94				
205381_at	LRRC17	Unknown	leucine rich repeat proteins	n/a	3	2.84E-04	9.61E-02	0.91				
210874_s_at	HYAL3	Metabolic process	enzyme secreted in sperm involved in fertilization	n/a	2	2.90E-04	9.61E-02	0.94				
211038_s_at	CROCC|CROCCL1|FLJ00313	Unknown	---		3	2.87E-04	9.61E-02	0.95				Non-specific
214285_at	FABP3	Metabolic process	fatty acid binding protein; intracellular metabolism of long chain fatty acids 	n/a	fullModel	2.61E-04	9.61E-02	0.90	X		neuron	
217946_s_at	SAE1	Ubiquitination	ubiquitin activating	n/a	fullModel	2.85E-04	9.61E-02	0.95	X			Non-specific
221921_s_at	CADM3	Cell adhesion; Neurotransmission	synaptic cell adhesion molecule	highly	2	2.72E-04	9.61E-02	0.97				
218569_s_at	KBTBD4	Cell maintenance/biogenesis	may have role in organizing actin cytoskeleton of brain cells	present	2	2.97E-04	9.69E-02	0.94				
201410_at	PLEKHB2	Transport	transport; import of protein or lipid in membranous organelles	present	3	3.58E-04	9.82E-02	0.94	X			
202250_s_at	DCAF8	Ubiquitination	interacts with the E3 ligase complex	n/a	3	3.55E-04	9.82E-02	0.94				
202289_s_at	TACC2	Cell maintenance/ biogenesis	mitotic spindle maintenance; organizing centrosomal microtubules	present	2	3.27E-04	9.82E-02	0.94			neuron	
202667_s_at	SLC39A7	Transport ; Neurotransmission; Energy Metabolism	heavy metal ion transport; possibly supporting brain energy utilization and neurotransmission	present	3	3.52E-04	9.82E-02	0.95				
204685_s_at	ATP2B2	Oxidative metabolism; Neurotransmission	Ca transporter; critical for clearance of calcium from excitable cells; influences glutamate release from excitatory terminals	"highly (cerebellum, hippocampus, purkinje cells)"	2	3.33E-04	9.82E-02	0.94	X		neuron	
206023_at	NMU	Signal transduction; Neurotransmitter transport	neuromedin U; neuropeptide; signaling neurotransmitter	present	fullModel	3.21E-04	9.82E-02	0.90	X			
211796_s_at	TCRVB|TCRBV2S1|TCRBV17S1|TCRVB	Unknown	---		fullModel	3.18E-04	9.82E-02	0.92				Non-specific
212296_at	PSMD14	Ubiquitination	responsible for substrate deubiquitination during proteasomal degradation	n/a	3	3.34E-04	9.82E-02	0.95				
214092_x_at	SFRS14	RNA processing	splicing factor; pre-mRNA processing	present	3	3.26E-04	9.82E-02	0.97				
214619_at	CRHR1	Signal transduction	corticotropin releasing hormone receptor; GPCR signaling; mediating stress response and anxiety related behaviour	"present (cortex, cerebellum, hypothalamus)"	4	3.17E-04	9.82E-02	0.95			neuron	
214883_at	THRA	Signal transduction; Transcription	thyroid hormone receptor (signaling); TF; capacity to play important role in developing and adult neurons	highly (neuron)	4	3.38E-04	9.82E-02	0.96				
216970_at	Unknown	Unknown	---		2	3.49E-04	9.82E-02	0.96				Mis-targeted
64488_at	IRGQ|AK128554	Unknown	---		2	3.51E-04	9.82E-02	0.95				Non-specific
218032_at	SNN	Response to stress; Cell maintenance/biogenesis	several key signaling pathways; sensor of mitchondrial damage; stress repsonse	highly	2	3.63E-04	9.84E-02	0.96	X			
205061_s_at	EXOSC9	RNA processing	exosome component; RNA processing	n/a	3	3.77E-04	9.97E-02	0.96				Non-specific
206435_at	B4GALNT1	Metabolic process	synthesis of glycolipids; associated with neurdegenerative disorder NPC1 mouse model	highly	2	3.79E-04	9.97E-02	0.96	X		neuron	
214674_at	USP19	Ubiquitination	deubiquitinating enzyme in conjunction with 26S proteasome	n/a	5	3.85E-04	9.97E-02	0.96				
218968_s_at	ZFP64	Transcription; Translation	TF recruited to the promoters of NOTCH target genes	n/a	2	3.86E-04	9.97E-02	0.94				
